Results Table 1
;"1"
End date;"maandag 12 april 2021 10:19:25"
Maximum Force;(kN);"15.77"
Displacement at Maximum Force;(mm);"3.08"

Time;Force;Displacement
(s);(kN);(mm)
"27.1330";"2.1576";"0.8660"
"27.2330";"2.1641";"0.8677"
"27.3330";"2.1698";"0.8693"
"27.4330";"2.1774";"0.8710"
"27.5330";"2.1834";"0.8727"
"27.6330";"2.1900";"0.8743"
"27.7330";"2.1972";"0.8761"
"27.8330";"2.2035";"0.8777"
"27.9330";"2.2102";"0.8793"
"28.0330";"2.2170";"0.8811"
"28.1330";"2.2229";"0.8827"
"28.2330";"2.2308";"0.8844"
"28.3330";"2.2359";"0.8861"
"28.4330";"2.2430";"0.8877"
"28.5330";"2.2499";"0.8894"
"28.6330";"2.2562";"0.8910"
"28.7330";"2.2625";"0.8927"
"28.8330";"2.2693";"0.8944"
"28.9330";"2.2760";"0.8960"
"29.0330";"2.2835";"0.8977"
"29.1330";"2.2895";"0.8993"
"29.2330";"2.2967";"0.9010"
"29.3330";"2.3037";"0.9027"
"29.4330";"2.3097";"0.9043"
"29.5330";"2.3168";"0.9060"
"29.6330";"2.3233";"0.9077"
"29.7330";"2.3296";"0.9093"
"29.8330";"2.3375";"0.9111"
"29.9330";"2.3437";"0.9127"
"30.0330";"2.3504";"0.9143"
"30.1330";"2.3581";"0.9161"
"30.2330";"2.3637";"0.9177"
"30.3330";"2.3706";"0.9193"
"30.4330";"2.3780";"0.9210"
"30.5330";"2.3846";"0.9226"
"30.6330";"2.3917";"0.9244"
"30.7330";"2.3984";"0.9260"
"30.8330";"2.4050";"0.9277"
"30.9330";"2.4123";"0.9294"
"31.0330";"2.4192";"0.9310"
"31.1330";"2.4260";"0.9327"
"31.2330";"2.4330";"0.9344"
"31.3330";"2.4397";"0.9360"
"31.4330";"2.4471";"0.9377"
"31.5330";"2.4532";"0.9394"
"31.6330";"2.4607";"0.9410"
"31.7330";"2.4679";"0.9427"
"31.8330";"2.4739";"0.9443"
"31.9330";"2.4820";"0.9460"
"32.0330";"2.4887";"0.9477"
"32.1330";"2.4951";"0.9493"
"32.2330";"2.5027";"0.9511"
"32.3330";"2.5098";"0.9527"
"32.4330";"2.5169";"0.9543"
"32.5330";"2.5245";"0.9561"
"32.6330";"2.5310";"0.9577"
"32.7330";"2.5381";"0.9594"
"32.8330";"2.5456";"0.9611"
"32.9330";"2.5519";"0.9627"
"33.0330";"2.5595";"0.9644"
"33.1330";"2.5668";"0.9660"
"33.2330";"2.5738";"0.9677"
"33.3330";"2.5810";"0.9694"
"33.4330";"2.5885";"0.9710"
"33.5330";"2.5961";"0.9727"
"33.6330";"2.6035";"0.9744"
"33.7330";"2.6103";"0.9760"
"33.8330";"2.6183";"0.9777"
"33.9330";"2.6250";"0.9793"
"34.0330";"2.6326";"0.9810"
"34.1330";"2.6397";"0.9827"
"34.2330";"2.6473";"0.9843"
"34.3330";"2.6548";"0.9861"
"34.4330";"2.6617";"0.9877"
"34.5330";"2.6692";"0.9893"
"34.6330";"2.6768";"0.9911"
"34.7330";"2.6838";"0.9927"
"34.8330";"2.6918";"0.9943"
"34.9330";"2.6992";"0.9961"
"35.0330";"2.7065";"0.9977"
"35.1330";"2.7138";"0.9994"
"35.2330";"2.7211";"1.0010"
"35.3330";"2.7282";"1.0027"
"35.4330";"2.7363";"1.0044"
"35.5330";"2.7435";"1.0060"
"35.6330";"2.7512";"1.0077"
"35.7330";"2.7594";"1.0094"
"35.8330";"2.7664";"1.0110"
"35.9330";"2.7740";"1.0127"
"36.0330";"2.7817";"1.0144"
"36.1330";"2.7891";"1.0160"
"36.2330";"2.7967";"1.0177"
"36.3330";"2.8046";"1.0193"
"36.4330";"2.8122";"1.0210"
"36.5330";"2.8199";"1.0227"
"36.6330";"2.8271";"1.0243"
"36.7330";"2.8354";"1.0260"
"36.8330";"2.8428";"1.0277"
"36.9330";"2.8505";"1.0293"
"37.0330";"2.8586";"1.0311"
"37.1330";"2.8656";"1.0327"
"37.2330";"2.8737";"1.0344"
"37.3330";"2.8816";"1.0361"
"37.4330";"2.8891";"1.0377"
"37.5330";"2.8977";"1.0394"
"37.6330";"2.9050";"1.0411"
"37.7330";"2.9129";"1.0427"
"37.8330";"2.9205";"1.0444"
"37.9330";"2.9284";"1.0460"
"38.0330";"2.9365";"1.0477"
"38.1330";"2.9445";"1.0494"
"38.2330";"2.9518";"1.0510"
"38.3330";"2.9596";"1.0527"
"38.4330";"2.9671";"1.0544"
"38.5330";"2.9756";"1.0560"
"38.6330";"2.9833";"1.0577"
"38.7330";"2.9910";"1.0593"
"38.8330";"2.9993";"1.0610"
"38.9330";"3.0071";"1.0627"
"39.0330";"3.0148";"1.0643"
"39.1330";"3.0235";"1.0661"
"39.2330";"3.0305";"1.0677"
"39.3330";"3.0386";"1.0693"
"39.4330";"3.0475";"1.0711"
"39.5330";"3.0541";"1.0727"
"39.6330";"3.0633";"1.0744"
"39.7330";"3.0709";"1.0761"
"39.8330";"3.0785";"1.0777"
"39.9330";"3.0873";"1.0794"
"40.0330";"3.0949";"1.0810"
"40.1330";"3.1024";"1.0826"
"40.2330";"3.1112";"1.0844"
"40.3330";"3.1192";"1.0860"
"40.4330";"3.1274";"1.0877"
"40.5330";"3.1357";"1.0894"
"40.6330";"3.1428";"1.0910"
"40.7330";"3.1518";"1.0927"
"40.8330";"3.1595";"1.0944"
"40.9330";"3.1677";"1.0960"
"41.0330";"3.1764";"1.0977"
"41.1330";"3.1834";"1.0993"
"41.2330";"3.1924";"1.1010"
"41.3330";"3.2003";"1.1027"
"41.4330";"3.2079";"1.1043"
"41.5330";"3.2169";"1.1061"
"41.6330";"3.2247";"1.1077"
"41.7330";"3.2329";"1.1093"
"41.8330";"3.2423";"1.1111"
"41.9330";"3.2494";"1.1127"
"42.0330";"3.2580";"1.1144"
"42.1330";"3.2666";"1.1161"
"42.2330";"3.2738";"1.1177"
"42.3330";"3.2827";"1.1194"
"42.4330";"3.2909";"1.1210"
"42.5330";"3.2989";"1.1227"
"42.6330";"3.3080";"1.1244"
"42.7330";"3.3155";"1.1260"
"42.8330";"3.3240";"1.1277"
"42.9330";"3.3331";"1.1294"
"43.0330";"3.3406";"1.1310"
"43.1330";"3.3492";"1.1327"
"43.2330";"3.3576";"1.1343"
"43.3330";"3.3661";"1.1360"
"43.4330";"3.3750";"1.1377"
"43.5330";"3.3828";"1.1393"
"43.6330";"3.3916";"1.1410"
"43.7330";"3.4001";"1.1427"
"43.8330";"3.4083";"1.1443"
"43.9330";"3.4174";"1.1461"
"44.0330";"3.4244";"1.1477"
"44.1330";"3.4341";"1.1494"
"44.2330";"3.4424";"1.1511"
"44.3330";"3.4507";"1.1527"
"44.4330";"3.4596";"1.1544"
"44.5330";"3.4680";"1.1561"
"44.6330";"3.4762";"1.1576"
"44.7330";"3.4848";"1.1594"
"44.8330";"3.4935";"1.1610"
"44.9330";"3.5022";"1.1627"
"45.0330";"3.5109";"1.1644"
"45.1330";"3.5192";"1.1660"
"45.2330";"3.5276";"1.1677"
"45.3330";"3.5366";"1.1694"
"45.4330";"3.5446";"1.1710"
"45.5330";"3.5537";"1.1727"
"45.6330";"3.5628";"1.1744"
"45.7330";"3.5710";"1.1760"
"45.8330";"3.5800";"1.1777"
"45.9330";"3.5882";"1.1793"
"46.0330";"3.5977";"1.1811"
"46.1330";"3.6058";"1.1827"
"46.2330";"3.6146";"1.1843"
"46.3330";"3.6238";"1.1861"
"46.4330";"3.6321";"1.1876"
"46.5330";"3.6409";"1.1893"
"46.6330";"3.6500";"1.1911"
"46.7330";"3.6584";"1.1926"
"46.8330";"3.6677";"1.1944"
"46.9330";"3.6759";"1.1960"
"47.0330";"3.6847";"1.1977"
"47.1330";"3.6943";"1.1994"
"47.2330";"3.7030";"1.2010"
"47.3330";"3.7118";"1.2027"
"47.4330";"3.7209";"1.2044"
"47.5330";"3.7294";"1.2060"
"47.6330";"3.7385";"1.2077"
"47.7330";"3.7476";"1.2094"
"47.8330";"3.7563";"1.2110"
"47.9330";"3.7651";"1.2127"
"48.0330";"3.7743";"1.2143"
"48.1330";"3.7826";"1.2160"
"48.2330";"3.7912";"1.2177"
"48.3330";"3.8004";"1.2193"
"48.4330";"3.8096";"1.2211"
"48.5330";"3.8182";"1.2227"
"48.6330";"3.8272";"1.2243"
"48.7330";"3.8368";"1.2261"
"48.8330";"3.8453";"1.2277"
"48.9330";"3.8548";"1.2294"
"49.0330";"3.8639";"1.2311"
"49.1330";"3.8726";"1.2326"
"49.2330";"3.8825";"1.2344"
"49.3330";"3.8905";"1.2360"
"49.4330";"3.8993";"1.2376"
"49.5330";"3.9095";"1.2394"
"49.6330";"3.9174";"1.2410"
"49.7330";"3.9268";"1.2427"
"49.8330";"3.9365";"1.2444"
"49.9330";"3.9448";"1.2460"
"50.0330";"3.9547";"1.2477"
"50.1330";"3.9636";"1.2494"
"50.2330";"3.9729";"1.2510"
"50.3330";"3.9822";"1.2527"
"50.4330";"3.9906";"1.2544"
"50.5330";"4.0002";"1.2560"
"50.6330";"4.0097";"1.2577"
"50.7330";"4.0180";"1.2593"
"50.8330";"4.0285";"1.2611"
"50.9330";"4.0362";"1.2627"
"51.0330";"4.0456";"1.2643"
"51.1330";"4.0552";"1.2661"
"51.2330";"4.0639";"1.2676"
"51.3330";"4.0733";"1.2694"
"51.4330";"4.0831";"1.2710"
"51.5330";"4.0923";"1.2726"
"51.6330";"4.1022";"1.2744"
"51.7330";"4.1111";"1.2760"
"51.8330";"4.1202";"1.2777"
"51.9330";"4.1299";"1.2794"
